vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,ready_to_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},17,2025-10-28 19:27:07,False,,,MessagePassingNode,7,,chain_trial,chain_trial,,,True,False,False,False,False,,1,1,True,21.0,7.0,"{""messages"": [""filter ghostly vapor\n\nno ghostly vapor in vial\n\nleave ghost vapor alone""], ""inventories"": []}","{""messages"": [""filter ghostly vapor\n\nno ghostly vapor in vial\n\nleave ghost vapor alone""], ""inventories"": []}",,default,potions,True,1,MessagePassingNode,Node
{},18,2025-10-28 19:30:25,False,,,MessagePassingNode,4,,chain_trial,chain_trial,,,True,False,False,False,False,,2,1,True,27.0,13.0,"{""messages"": [""I didn't have much luck.  Stay away from buttons. The frame is delicate to hard objects, use caution.""], ""inventories"": []}","{""messages"": [""I didn't have much luck.  Stay away from buttons. The frame is delicate to hard objects, use caution.""], ""inventories"": []}",,default,decorations,True,1,MessagePassingNode,Node
{},19,2025-10-28 19:30:51,False,,,MessagePassingNode,2,,chain_trial,chain_trial,,,True,False,False,False,False,,1,1,True,24.0,2.0,"{""messages"": [""Do not overcook the food or add too many ingredients as that will make you lose points. You do not need to use all of the ingredients. Only the rice and wheat need to be soaked and cooked.""], ""inventories"": []}","{""messages"": [""Do not overcook the food or add too many ingredients as that will make you lose points. You do not need to use all of the ingredients. Only the rice and wheat need to be soaked and cooked.""], ""inventories"": []}",,default,cooking,True,1,MessagePassingNode,Node
{},20,2025-10-28 19:36:05,False,,,MessagePassingNode,5,,chain_trial,chain_trial,,,True,False,False,False,False,,2,1,True,26.0,14.0,"{""messages"": [""Didn't do too well.  try to mutate different animals. Be careful when trying to mutate.""], ""inventories"": []}","{""messages"": [""Didn't do too well.  try to mutate different animals. Be careful when trying to mutate.""], ""inventories"": []}",,default,animals,True,1,MessagePassingNode,Node
{},21,2025-10-28 19:43:51,False,,,MessagePassingNode,7,,chain_trial,chain_trial,,,True,False,False,False,False,,2,1,True,44.0,17.0,"{""messages"": [""can only filter: ghost, honey, morning dew, basilisk, tree sap\n3 ingredients makes you lose points. 2 is good\nvials and filtered items can be combined""], ""inventories"": []}","{""messages"": [""can only filter: ghost, honey, morning dew, basilisk, tree sap\n3 ingredients makes you lose points. 2 is good\nvials and filtered items can be combined""], ""inventories"": []}",,default,potions,True,1,MessagePassingNode,Node
{},23,2025-10-28 19:45:43,False,,,MessagePassingNode,1,,chain_trial,chain_trial,,,True,False,False,False,False,,2,1,True,34.0,15.0,"{""messages"": [""dont overcomplicate the ingredient and stay away from brocolli.""], ""inventories"": []}","{""messages"": [""dont overcomplicate the ingredient and stay away from brocolli.""], ""inventories"": []}",,default,cooking,True,1,MessagePassingNode,Node
{},24,2025-10-28 19:50:55,False,,,MessagePassingNode,2,,chain_trial,chain_trial,,,True,False,False,False,False,,2,1,True,35.0,19.0,"{""messages"": [""dont over cook dont use too many ingredient as it will make you lose points""], ""inventories"": []}","{""messages"": [""dont over cook dont use too many ingredient as it will make you lose points""], ""inventories"": []}",,default,cooking,True,1,MessagePassingNode,Node
{},25,2025-10-28 19:54:59,False,,,MessagePassingNode,3,,chain_trial,chain_trial,,,True,False,False,False,False,,2,1,True,28.0,16.0,"{""messages"": [""dont overcomplicate it and hard objects will cause you problems""], ""inventories"": []}","{""messages"": [""dont overcomplicate it and hard objects will cause you problems""], ""inventories"": []}",,default,decorations,True,1,MessagePassingNode,Node
{},26,2025-10-28 19:56:05,False,,,MessagePassingNode,5,,chain_trial,chain_trial,,,True,False,False,False,False,,3,1,True,33.0,20.0,"{""messages"": [""Mutation is tricky and haven't figured out how to use it. So far when used, it was all bad and gave negative points. 3 ingredients might overcomplicate, so be careful.\nTriple growth only: bird, puffer, butterfly, frog, fish\nDouble growth only: zebra, crab, snake, squid, octo\nOne growth only: elephant, lion, shark, squid, kangaroo""], ""inventories"": []}","{""messages"": [""Mutation is tricky and haven't figured out how to use it. So far when used, it was all bad and gave negative points. 3 ingredients might overcomplicate, so be careful.\nTriple growth only: bird, puffer, butterfly, frog, fish\nDouble growth only: zebra, crab, snake, squid, octo\nOne growth only: elephant, lion, shark, squid, kangaroo""], ""inventories"": []}",,default,animals,True,1,MessagePassingNode,Node
{},27,2025-10-28 20:04:59,False,,,MessagePassingNode,4,,chain_trial,chain_trial,,,True,False,False,False,False,,3,1,True,37.0,18.0,"{""messages"": [""Refine objects and combine them.  Don't combine frames with hard objects.  Don't put too many things together as it overcomplicates.""], ""inventories"": []}","{""messages"": [""Refine objects and combine them.  Don't combine frames with hard objects.  Don't put too many things together as it overcomplicates.""], ""inventories"": []}",,default,decorations,True,1,MessagePassingNode,Node
{},28,2025-10-28 20:05:11,False,,,MessagePassingNode,3,,chain_trial,chain_trial,,,True,False,False,False,False,,3,1,True,36.0,25.0,"{""messages"": [""use only 2 ingredients\ndon't cut hard objects. cardboard is fine to cut and use.\ncutting flat or soft objects and then framed gives 100 although only yarn and ribbon combo didn't work well.""], ""inventories"": []}","{""messages"": [""use only 2 ingredients\ndon't cut hard objects. cardboard is fine to cut and use.\ncutting flat or soft objects and then framed gives 100 although only yarn and ribbon combo didn't work well.""], ""inventories"": []}",,default,decorations,True,1,MessagePassingNode,Node
{},29,2025-10-28 20:13:51,False,,,MessagePassingNode,8,,chain_trial,chain_trial,,,True,False,False,False,False,,1,1,True,38.0,8.0,"{""messages"": [""The 2 same states of matter with one magical and one mundane and then vial was best I got.  Too many things together overcomplicates.""], ""inventories"": []}","{""messages"": [""The 2 same states of matter with one magical and one mundane and then vial was best I got.  Too many things together overcomplicates.""], ""inventories"": []}",,default,potions,True,1,MessagePassingNode,Node
{},33,2025-10-28 20:33:31,False,,,MessagePassingNode,5,,chain_trial,chain_trial,,,True,False,False,False,False,,4,1,False,,26.0,"{""messages"": [""mutate same size and combine and then grow to max if not 65 then try mutate \n\ntoo many things combined overcomplicates and too much mutating corrupts which i did not seem to get to be a positive\n\n65 was highest i got\n3x grow and 2x mutate seem to be limit""], ""inventories"": []}","{""messages"": [""mutate same size and combine and then grow to max if not 65 then try mutate \n\ntoo many things combined overcomplicates and too much mutating corrupts which i did not seem to get to be a positive\n\n65 was highest i got\n3x grow and 2x mutate seem to be limit""], ""inventories"": []}",,default,animals,True,0,MessagePassingNode,Node
{},34,2025-10-28 20:42:21,False,,,MessagePassingNode,1,,chain_trial,chain_trial,,,True,False,False,False,False,,3,1,True,43.0,23.0,"{""messages"": [""80 was highest I got: cook two non meat then combine, cook a meat and combine the non meat mix and meat\n\ntoo many ingredients overcomplicates, overcooking seems negative\ncouldnt get water to help""], ""inventories"": []}","{""messages"": [""80 was highest I got: cook two non meat then combine, cook a meat and combine the non meat mix and meat\n\ntoo many ingredients overcomplicates, overcooking seems negative\ncouldnt get water to help""], ""inventories"": []}",,default,cooking,True,1,MessagePassingNode,Node
{},35,2025-10-28 20:53:21,False,,,MessagePassingNode,2,,chain_trial,chain_trial,,,True,False,False,False,False,,3,1,True,41.0,24.0,"{""messages"": [""Don't use all 4 ingredients in a single dish\nSoak wheat/rice\nOnly use stove once per item to avoid overcooking""], ""inventories"": []}","{""messages"": [""Don't use all 4 ingredients in a single dish\nSoak wheat/rice\nOnly use stove once per item to avoid overcooking""], ""inventories"": []}",,default,cooking,True,1,MessagePassingNode,Node
{},36,2025-10-28 20:58:19,False,,,MessagePassingNode,3,,chain_trial,chain_trial,,,True,False,False,False,False,,4,1,False,,28.0,"{""messages"": [""use only 2 ingredients\ndon't cut hard objects. cardboard is fine to cut and use.\ncutting flat or soft objects and then framed gives 100 although only yarn and ribbon combo didn't work well.""], ""inventories"": []}","{""messages"": [""use only 2 ingredients\ndon't cut hard objects. cardboard is fine to cut and use.\ncutting flat or soft objects and then framed gives 100 although only yarn and ribbon combo didn't work well.""], ""inventories"": []}",,default,decorations,True,0,MessagePassingNode,Node
{},37,2025-10-28 21:01:37,False,,,MessagePassingNode,4,,chain_trial,chain_trial,,,True,False,False,False,False,,4,1,False,,27.0,"{""messages"": [""Refine objects and combine them.  Don't combine frames with hard objects.  Don't put too many things together as it overcomplicates.\n2 cut soft combined+framed generally gives a high score, but avoid yarn+ribbon.""], ""inventories"": []}","{""messages"": [""Refine objects and combine them.  Don't combine frames with hard objects.  Don't put too many things together as it overcomplicates.\n2 cut soft combined+framed generally gives a high score, but avoid yarn+ribbon.""], ""inventories"": []}",,default,decorations,True,0,MessagePassingNode,Node
{},38,2025-10-28 21:07:39,False,,,MessagePassingNode,8,,chain_trial,chain_trial,,,True,False,False,False,False,,2,1,True,39.0,29.0,"{""messages"": [""The 2 same states of matter with one magical and one mundane and then vial was best I got. Only combine 2 items. If the value is still low after combining+vialing, try filtering.\nDon't filter solids on their own. Don't filter ghost vapor, most others were fine.""], ""inventories"": []}","{""messages"": [""The 2 same states of matter with one magical and one mundane and then vial was best I got. Only combine 2 items. If the value is still low after combining+vialing, try filtering.\nDon't filter solids on their own. Don't filter ghost vapor, most others were fine.""], ""inventories"": []}",,default,potions,True,1,MessagePassingNode,Node
{},39,2025-10-28 21:27:29,False,,,MessagePassingNode,8,,chain_trial,chain_trial,,,True,False,False,False,False,,3,1,True,46.0,38.0,"{""messages"": [""The 2 solids with one magical and one mundane and then vial was best I got. Only combine 2 items. If the value is still low after combining+vialing, try filtering.\nDon't filter solids on their own. Don't filter ghost vapor, most others were fine.""], ""inventories"": []}","{""messages"": [""The 2 solids with one magical and one mundane and then vial was best I got. Only combine 2 items. If the value is still low after combining+vialing, try filtering.\nDon't filter solids on their own. Don't filter ghost vapor, most others were fine.""], ""inventories"": []}",,default,potions,True,1,MessagePassingNode,Node
{},40,2025-10-28 21:33:49,False,,,MessagePassingNode,6,,chain_trial,chain_trial,,,True,False,False,False,False,,1,1,True,42.0,6.0,"{""messages"": [""Lives the same area add 1 growth serum""], ""inventories"": []}","{""messages"": [""Lives the same area add 1 growth serum""], ""inventories"": []}",,default,animals,True,1,MessagePassingNode,Node
{},41,2025-10-28 21:39:43,False,,,MessagePassingNode,2,,chain_trial,chain_trial,,,True,False,False,False,False,,4,1,False,,35.0,"{""messages"": [""Don't use all 4 ingredients in a single dish\nSoak wheat/rice\nOnly use stove once per item to avoid overcooking""], ""inventories"": []}","{""messages"": [""Don't use all 4 ingredients in a single dish\nSoak wheat/rice\nOnly use stove once per item to avoid overcooking""], ""inventories"": []}",,default,cooking,True,0,MessagePassingNode,Node
{},42,2025-10-28 21:44:25,False,,,MessagePassingNode,6,,chain_trial,chain_trial,,,True,False,False,False,False,,2,1,True,45.0,40.0,"{""messages"": [""Don't over complicate, combine 2 then add growth serum. The mutation catalyst always gets negative after combining.""], ""inventories"": []}","{""messages"": [""Don't over complicate, combine 2 then add growth serum. The mutation catalyst always gets negative after combining.""], ""inventories"": []}",,default,animals,True,1,MessagePassingNode,Node
{},43,2025-10-28 21:51:19,False,,,MessagePassingNode,1,,chain_trial,chain_trial,,,True,False,False,False,False,,4,1,False,,34.0,"{""messages"": [""80 was highest I got: cook two non meat then combine, cook a meat and combine the non meat mix and meat\n\ntoo many ingredients overcomplicates, overcooking seems negative\ncouldnt get water to help\n\nThis advice is solid, I used it after, 80 points all the time""], ""inventories"": []}","{""messages"": [""80 was highest I got: cook two non meat then combine, cook a meat and combine the non meat mix and meat\n\ntoo many ingredients overcomplicates, overcooking seems negative\ncouldnt get water to help\n\nThis advice is solid, I used it after, 80 points all the time""], ""inventories"": []}",,default,cooking,True,0,MessagePassingNode,Node
{},44,2025-10-28 21:58:39,False,,,MessagePassingNode,7,,chain_trial,chain_trial,,,True,False,False,False,False,,3,1,True,47.0,21.0,"{""messages"": [""*Short Guide To Combining Ingredient's* \nSolids combine with vial\nLiquids combine with filter\nGas/ Vapor combine with filter\nCombine the same type of ingredients together\n(Example: Liquid magical + Liquid magical= New Item)\n\nSome ingredients can combine even if one is a solid, liquid or gas as long as its the same type.\n(Example: Solid mundane + vial = Mundane vial and \nGas mundane + filter = gas filtered. Mundane vial + Gas Mundane= 100% Item\n\nCombine two filtered or two vial ingredients together to get a 100% item! Good luck y'all!""], ""inventories"": []}","{""messages"": [""*Short Guide To Combining Ingredient's* \nSolids combine with vial\nLiquids combine with filter\nGas/ Vapor combine with filter\nCombine the same type of ingredients together\n(Example: Liquid magical + Liquid magical= New Item)\n\nSome ingredients can combine even if one is a solid, liquid or gas as long as its the same type.\n(Example: Solid mundane + vial = Mundane vial and \nGas mundane + filter = gas filtered. Mundane vial + Gas Mundane= 100% Item\n\nCombine two filtered or two vial ingredients together to get a 100% item! Good luck y'all!""], ""inventories"": []}",,default,potions,True,1,MessagePassingNode,Node
{},45,2025-10-28 21:58:45,False,,,MessagePassingNode,6,,chain_trial,chain_trial,,,True,False,False,False,False,,3,1,False,,42.0,"{""messages"": [""Don't try to combine more than 2 animals. Just add growth serum after that but not more than 2 times normally. The mutation catalyst always gets negative after combining.""], ""inventories"": []}","{""messages"": [""Don't try to combine more than 2 animals. Just add growth serum after that but not more than 2 times normally. The mutation catalyst always gets negative after combining.""], ""inventories"": []}",,default,animals,True,0,MessagePassingNode,Node
{},46,2025-10-28 21:59:01,False,,,MessagePassingNode,8,,chain_trial,chain_trial,,,True,False,False,False,False,,4,1,False,,39.0,"{""messages"": [""I was able to achieve 100 a couple of times, if you get two dragon parts, add vial separately, then combine them\n\nIf you see sun stone and obsidian, apply vial separately, then combine\n\nIf it seems like you can filter two separate items (eg vapor or dew), filter them both separately, then combine, I was able to achieve 100 one time as well""], ""inventories"": []}","{""messages"": [""I was able to achieve 100 a couple of times, if you get two dragon parts, add vial separately, then combine them\n\nIf you see sun stone and obsidian, apply vial separately, then combine\n\nIf it seems like you can filter two separate items (eg vapor or dew), filter them both separately, then combine, I was able to achieve 100 one time as well""], ""inventories"": []}",,default,potions,True,0,MessagePassingNode,Node
{},47,2025-10-28 22:14:29,False,,,MessagePassingNode,7,,chain_trial,chain_trial,,,True,False,False,False,False,,4,1,False,,44.0,"{""messages"": [""*Short Guide To Combining Ingredient's* \nSolids combine with vial\nLiquids combine with filter\nGas/ Vapor combine with filter\n\nGo for the combinations below to get 100%\n\nLiquid extracted magical + liquid extracted mundane = 100%\nLiquid filtered magical + liquid extracted mundane = 100%\nLiquid filtered mundane + liquid filtered magical = 100%""], ""inventories"": []}","{""messages"": [""*Short Guide To Combining Ingredient's* \nSolids combine with vial\nLiquids combine with filter\nGas/ Vapor combine with filter\n\nGo for the combinations below to get 100%\n\nLiquid extracted magical + liquid extracted mundane = 100%\nLiquid filtered magical + liquid extracted mundane = 100%\nLiquid filtered mundane + liquid filtered magical = 100%""], ""inventories"": []}",,default,potions,True,0,MessagePassingNode,Node
