trial_id,participant_id,chain_id,domain,message,chain_pos,condition
143,121,40,decorations,"cut hard things twice soft things once

artificial + natural then + frame

OR

soft artificial + soft natural + frame

Cut before combining.",1,chain
144,126,78,potions,use no more than 2 ingredients,1,chain
147,126,2,cooking,"cook things that would go together in real life, one at a time then combine",2,chain
151,141,25,decorations,combine the scissors with things you can cut,1,chain
153,141,69,potions,The objects always have the same reaction with either item use the viaL THE MOST,2,chain
155,141,57,animals,It is more favorable in the long run to combine two animals that are from the same environment and not use the mutation. COMBINE,2,chain
156,141,17,cooking,This one is easy...just don't get too complicated. DONT USE FISH,2,chain
160,153,3,cooking,"I did not solve this puzzle. Max I got was 80 points.
There is meat, protein, vegetable, and grain. 4 ingredients will overcomplicate your dish, only use 3 ingredients.

You can make all kinds of dishes: salads, sandwiches, skillet, medley, tortillas, stew. I did not explore stew much. Soaking the beans and rice didn't do much but maybe I did it in the wrong order.

Cooked protein/meat + cooked vegetable + grain = 80
Cooked meat + cooked vegetable + cooked vegetable = 80
Cooked vegetable + cooked vegetable + cooked rice = 80",2,chain
162,150,9,cooking,Cook what you would eat.,2,chain
163,156,25,decorations,combine the scissors with things you can cut,2,chain
165,153,74,potions,"Vial for extract, filter for filter. Combine the best outcome extract with the best outcome filter for most of the highest-scoring results. There are some exceptions, such as one where 2 extracts can be combined.",2,chain
166,150,31,decorations,Try combining natural and artificial soft first then cut to get 80,2,chain
169,156,41,animals,try mutating twice then grow on one animal. then mess with combining. i had no idea what was deciding points,2,chain
170,150,45,animals,"Combine two of the four animals after aging them a few times (or max,) then with those two you combined add a couple mutations. Repeat for the other two animals left.",2,chain
171,153,58,animals,I didn't good on this one.,2,chain
173,164,19,cooking,"Don't cook twice, 3 combinations at most for the highest score and be very careful not to mix wrong ingredients.",2,chain
174,156,70,potions,"don't over-combine
don't combine similar elements (flowers and flowers) together",2,chain
175,153,22,decorations,dont use frame,2,chain
176,150,75,potions,Knowing what to mix is hard. Just be careful with filtering,2,chain
177,164,50,animals,Stay away from the mutation and be very observant.,2,chain
178,168,62,potions,"vial extracts. sometimes vial twice works. filter bad stuff (ink, poison). vial good things, then add the vial and filtered together. always leave an element to get points if you screw everything else up use the filter more to gain more points",2,chain
179,156,11,cooking,Cook everything you use. Don't combine everything though.,2,chain
180,175,78,potions,Combine only 2 ingredients that have both been successfully filtered or vialed (but not both),2,chain
181,170,16,cooking,"Cooking something twice doesn't make it better, and most times will make it negative. I tried making a BLT and it was marked as overcomplicated, so try and stick to only 3 ingredients mixed together.",2,chain
182,164,24,decorations,Don't use the scissors on everything. Try to think about making an arts and craft frame try to be creative.,2,chain
184,168,5,cooking,"Use stove on all ingredients. Ingredients that don't benefit from stove you can use water on. Combine 3 of the highest rated ingredients, 2 should have used stove, and one should have used water. Ignore the 4th ingredient.Tkae the highest and watch adding together sometimes you will get nothing",2,chain
186,170,55,animals,You can individually get each creature high by doing mutant>growth>mutant>growth. After doing that you can combine up to 3 of them. I haven't figured out how to combine all 4.,2,chain
187,168,40,decorations,"cut hard things twice soft things once

artificial + natural then + frame

OR

soft artificial + soft natural + frame

Cut before combining.Always do the soft one first",2,chain
188,175,32,decorations,Scissors seemed to do better on softer objects. Using them on harder objects just seemed to result in negatives. Framing seemed very mixed in terms of results and often resulted in huge losses except when score was already high (60+).,2,chain
189,164,72,potions,Filter things that aren't solid and then combine those filtered items. Be very careful.,2,chain
190,168,44,animals,You can combine up to three. You can use the growth serum multiple times on the same animal.sometimes you will 0,2,chain
192,170,34,decorations,"Be satisfied with a positive outcome even if its not 100. Hold down onto ingredients once you cut or framed theme to understand if they are artifical, natural, soft or hard.",2,chain
193,175,8,cooking,Think about recipes of actual food (what you would cook/combine and how you would make it). I never managed above 60.,2,chain
194,170,79,potions,The vial and filter do not work together,2,chain
195,175,48,animals,A land + air + water animal and 2 growth always seemed to give me 40+. Struggled to get over 50. Mutation potion seemed to always leave me in the negative.,2,chain
198,180,36,decorations,"Use 2 scissors on hard objects, 1 on soft. Then combine two and frame. Combine 2 natural soft then frame, or a natural soft and artificial hard for best results.",2,chain
199,182,38,decorations,Adding the frame last seems to work best,2,chain
200,185,27,decorations,cut hard material and combine with cut soft material; then frame it but don't combine two frames in any configuration,2,chain
203,180,4,cooking,"Cook proteins, soak things like rice, beans, and wheat and then cook them. Cook veggies, then combine cooked protein, grain, and one veggie at most.",2,chain
204,182,65,potions,It was much harder to figure out the right combinations. I was only able to get 30 on some combinations. Don't overthink it too much,2,chain
205,185,60,animals,"mutation isnt reliable. grow two large animals and then combine if you can, it's gangbusters. No real world application.",2,chain
206,180,59,animals,"Avoid overly mutating combinations, sometimes two is alright. Focus more on growth, do three growths on combos of small animals, no more than one on those with two large animals.",2,chain
207,182,13,cooking,"I couldn't find any combinations that gave me above 40. I made the following:
- cooked bacon and potato hash 
- cooked soaked tortilla lettuce wrap
- cooked egg beet medley
- cooked bacon vegetable medley
- cooked tomato wheat",2,chain
208,185,10,cooking,"This round was fun. Just make good dishes. As you would in real life from the pantry. / here's a recipe I thought was tasty: if you combine two vegs (in name not necc. tag?) cook them and combine with a cooked meat, that resulting medley is pretty fat score-wise, give it a wallop",2,chain
209,180,76,potions,"Use your judgement to test each item with the vial or filter. Combine two that were successful, but lean away from combining mundane and magical items.",2,chain
210,185,64,potions,"vial will give you an extract try to make good sounding ""____ extract"" terms in ur head; if you get two good extract combine those thangs, I got a wizard phd (100points) for my mandrake-amber elixir so im your professor ok? if you fuck that up filtering fumes is an okay hedge maybe. don't use tools on your kraken ink you'll spill it everywhere and *don't get too complicated*!!!",2,chain
211,182,46,animals,It is best to use growth serum before mutating,2,chain
213,189,18,cooking,"water is useless. Also do not over complicate things. Only add thigs that make sense, it deducts points if you try to create anything new",2,chain
214,189,63,potions,"Don't touch the vial...its worthless. Nothing works, nothing. Liquid gas solid, doesnt matter. Nothing goes to gather, i tried every single combo",2,chain
215,189,33,decorations,Knowing which soft or hard decorations to combine is important . The items that go together make sense in this one.,2,chain
216,189,51,animals,use first item. The growth serum works with everything,2,chain
220,195,52,animals,"You should use growth serum only once on each and just submit. I found that when combining them sometimes it worked out, but I never got that many points. I got maybe around 5-15 but for the most part I really struggled with getting any points at all. Be less experimental and you will earn more points.",2,chain
223,195,71,potions,I do not really have much advice. I didn't get many points. My best round was 60 points and that was when I just mixed things together excessively.,2,chain
224,195,29,decorations,"Combine what would look nice as a picture on the wall. Do not use thread, it lowers your points. Just combine two ingredients you think would look nice together and then frame them.",2,chain
229,195,7,cooking,"Here are tips for several different rounds to maximize your points:  
Grab the beans but don't soak them, just cook them

Soak rice in water and then cook on stove

Then, combine the cooked beans with the soaked rice

Cook the bacon with stove. Then, put bread on TOP of bacon

Cook fish on stove. Then, add fresh mushrooms but don't cook them. Then, add corn on top of fish and mushroom

Cook egg on stove. Then cook potato separately with stove. Then, place potato on top of egg.

Cook beans, potatoes and mushrooms separately with stove. Then, place potatoes on top of beans. Then, place mushrooms on top of potatoes",2,chain
231,207,30,decorations,Cutting something twice can make it finely cut if cutting it once is negative. Combine two finely cut or regularly cut items and then frame them. Try to aim for 25 points per each item,2,chain
233,206,61,potions,"everything works well together and makes logical sense. Just trust your intuition, it will all work out.",2,chain
235,207,14,cooking,"You should not add stove and water together. And also raw food are best for the stove. Items may be 0, but when combined they could equal a higher score.",2,chain
236,206,43,animals,Don't overmix!! Play with a few things and keep moving. Also don't do more then 3 animals together.,2,chain
237,210,42,animals,"Combine like creatures together (small, medium, large)
Use the growth serum, but only once or twice.   Too often and you overdo it.  Mutation catalyst seems to immediately cause negatives.",2,chain
239,206,20,cooking,just cook things you normally would in real life,2,chain
241,207,67,potions,"Filter non-solids. Vial the solids. Combine the ones that seem more alike. One filtered non-solid, and one vial of solid added together becomes a higher score.",2,chain
242,206,28,decorations,dont overcomplicate things. also use cardboard,2,chain
243,210,80,potions,"Don't overdo it or it will be too complicated
Vials work best with solids, filters with liquids
Filter items before combining

Don't combine more than 2, it becomes overcomplicated

dont use vial for gas",2,chain
244,207,53,animals,"Knowing when to use the catalyst and the growth serum is very important. Mix around the options, even if you go negative for score.. maybe adding more will make the score higher",2,chain
246,205,17,cooking,Try to combine ingredients that you would actually cook together.,3,chain
248,210,39,decorations,"Always frame last as combining something already framed will break the frame.
Don't do too much - it makes things overcomplicated and those combinations lose points.

Don't cut wood or hard things",2,chain
249,205,22,decorations,Add the frame last.,3,chain
250,215,56,animals,Mutant will not do anything. Try combining those animals and use the growth serum instead.,2,chain
253,218,15,cooking,"stove beef with soaked veggie
beef corn potato stove
beet egg bread sandwich oven all",2,chain
254,220,16,cooking,"Cooking something twice doesn't make it better, and most times will make it negative. I tried making a BLT and it was marked as overcomplicated, so try and stick to only 3 ingredients mixed together. Cook the ingredients",3,chain
255,193,73,potions,"Vial plus magical, then filter plus mundane.
Combine those two products for 100",2,chain
256,209,33,decorations,Knowing which soft or hard decorations to combine is important . The items that go together make sense in this one.,3,chain
257,205,59,animals,Don't add more than 2 animals together.,3,chain
258,210,20,cooking,"just cook things you normally would in real life
Don't cook soaked things. In fact, using water seems to be counterproductive.",3,chain
259,223,37,decorations,"You can only place ONE item in frame or it ruins the frame and you get a negative score.  So, place ribbons, sunflower, leaf or mushroom on top of frame by themselves.",3,chain
260,215,9,cooking,Cook what you would eat. Just mix 2 or 3 ingredients.,3,chain
261,220,69,potions,The objects always have the same reaction with either item use the vial on items and then combine the potions that work,3,chain
262,205,76,potions,"Choose 1 ingredient and then vial or filter, before choosing another ingredient.",3,chain
263,218,30,decorations,"Cutting something twice can make it finely cut if cutting it once is negative. Combine two finely cut or regularly cut items and then frame them. Try to aim for 25 points per each item
Any two 25 point items together framed",3,chain
265,215,23,decorations,Careful combining ingredients with frame. Use scissors with items that make sense. Cut flowers and ribbon before combining them.,2,chain
267,223,1,cooking,"Use stove not water. Use combo of veggie, protein, and grain. Don't use more than 3 ingredients",3,chain
268,215,64,potions,", I got 100points for my mandrake-amber-vial. Don't use tools on your kraken ink and don't get too complicated.",3,chain
269,220,27,decorations,Cut the items before you combine and then frame it,3,chain
270,209,43,animals,"Don't overmix!! Play with a few things and keep moving. Also, don't do more than 3 animals together. Growth Serum is more successful.",3,chain
271,211,73,potions,"Solid ingredients fail being filtered. Vial + solid item. Liquid or gas item+ filter. Combine both = 100

Combine one magical with one mundane for best results",3,chain
272,218,61,potions,"everything works well together and makes logical sense. Just trust your intuition, it will all work out.
filter first, then combine, don't use vial",3,chain
273,220,44,animals,You can combine up to three. You can use the growth serum multiple times on the same animal but it may turn negative.,3,chain
274,218,46,animals,"It is best to use growth serum before mutating
zebra shark growth serum",3,chain
275,223,70,potions,"don't over-combine
don't combine similar elements (flowers and flowers) together",3,chain
276,209,2,cooking,"cook things that would go together in real life, one at a time then combine. The stove is more successful.",3,chain
277,223,41,animals,"don't over combine. 
just two animals are okay and they should animals that lives on land and air.",3,chain
278,211,12,cooking,"3 ingredients max, one of each: protein, vegetable, and grain. I combined vegetable with protein, then used stove then combined with grain. Water lowers score. Was only able to get max of 80",3,chain
280,231,56,animals,Mutant will not do anything. Try combining those animals and use the growth serum instead.  Do 3 instead of 4 animals.,3,chain
282,231,21,decorations,"Group cut-able objects together and add scissors. Then group non cut-able objects together with frame.

Do not combine more than 2 objects before cutting or framing. If I had 3 cuttable items, I used one with a non cuttable item.
I put the hardest objects together or softest",3,chain
283,231,10,cooking,"This round was fun. Just make good dishes. As you would in real life from the pantry. / here's a recipe I thought was tasty: if you combine two vegs (in name not necc. tag?) cook them and combine with a cooked meat, that resulting medley is pretty fat score-wise, give it a wallop.  Water didn't help",3,chain
285,234,60,animals,Try different combinations and don't use the multiplier too often.,3,chain
286,231,74,potions,"Vial for extract, filter for filter. Combine the best outcome extract with the best outcome filter for most of the highest-scoring results. There are some exceptions, such as one where 2 extracts can be combined.

It seemed like a lot worked here.  It will look bad, like -60, then add vial and it goes to 100",3,chain
287,234,34,decorations,Make sure to combine multiple of the same instrument to get a higher score,3,chain
288,235,25,decorations,"Cut soft objects with scissors and combine them before framing, try not to overcomplicate things though.",3,chain
289,233,6,cooking,Some real world application. cook raw foods. Cook veggies. i stpped at mixing 3 items. don't mix all foods.  start with stove then raw foods then veggies  leave off water and one thing.,3,chain
291,238,65,potions,"It was much harder to figure out the right combinations. I was only able to get 30 on some combinations. Don't overthink it too much.

Combining vial together, tend to be more reliable for generating points.",3,chain
292,234,4,cooking,Cook proteins and put everything else in water. Combine at maximum three items to get the best dish.,3,chain
293,233,78,potions,Combine only 2 ingredients that have both been successfully filtered or vialed (but not both),3,chain
294,235,79,potions,"Filter liquids and gasses, Vial solids for extracts. Only combine 1 type of item at a time dont mix 2 different types at once.",3,chain
295,238,32,decorations,"Scissors was more reliable. Combining scissors with ingredients produced more consistent positive points.

Scissors seemed to do better on softer objects. Using them on harder objects just seemed to result in negatives. Framing seemed very mixed in terms of results and often resulted in huge losses except when score was already high (60+).",3,chain
296,233,58,animals,I didn't good on this one.3 animals the toogle the 2 processes. I didn't do well.,3,chain
297,238,15,cooking,Combining stove with ingredients was more reliable for earning 20 points.,3,chain
298,234,80,potions,Use filters for liquids and gases. Use vial for anything that is solid. Combine the liquids or gases togther. Combine solids together.,3,chain
300,236,55,animals,You can individually get each creature high by doing mutant>growth>mutant>growth. After doing that you can combine up to 3 of them.,3,chain
302,235,8,cooking,"Make foods that make sense and dont overthink your choices, cook meats and vegetables, soak rice first and then cook",3,chain
303,238,42,animals,"Growth serum combined with ingredients tend to produce more positive points--
Combine like creatures together (small, medium, large)
Use the growth serum, but only once or twice.   Too often and you overdo it.  Mutation catalyst seems to immediately cause negatives.",3,chain
304,233,35,decorations,simply cut and frame items. do not include everything. be realistic,3,chain
305,241,14,cooking,"You should not add stove and water together. And also raw food are best for the stove. Items may be 0, but when combined they could equal a higher score.",3,chain
306,235,50,animals,"Combine the same landtypes and grow them then add 1 different land type animal, I wasnt able to get mutation to work. My highest was 30 pts",3,chain
307,236,77,potions,The best combo is 2 liquid and then put the filter on top of them.,3,chain
309,241,68,potions,"most liquids can be filtered, and solids can be extracted with vial. Do that first.. Similar themes go well together. (unicorn +rose or basilisk + batwing)",3,chain
310,236,19,cooking,"Don't cook twice, 3 combinations at most for the highest score",3,chain
311,241,23,decorations,Careful combining ingredients with frame. Use scissors with items that make sense. Cut flowers and ribbon before combining them.,3,chain
312,236,29,decorations,"Combine what would look nice as a picture on the wall. Do not use thread, it lowers your points. Just combine two ingredients you think would look nice together",3,chain
313,241,57,animals,It is more favorable in the long run to combine two animals that are from the same environment and not use the mutation. COMBINE,3,chain
315,247,71,potions,"I do not really have much advice. I didn't get many points. My best round was 60 points and that was when I just mixed things together excessively.

It was hard to find any combinations that produced good results. My best advice is to mix one tool with one ingredient, but don't mix two ingredients as this always resulted in negative points. The most I could get was 30 points which was by making an ingredient into a vial or filtering it.",3,chain
316,248,28,decorations,"Try to put things that make sense together.
Here are two trios that will gives you points for at least
two of the rounds (don't add anything else):
Frame + Scissors + Newspaper = 45 points
Scissors + Cardboard + Pinecone = 55 points

I didn't realize the notes were usable for the message at the end for the next person.  So another piece of advice is right down the best combos, duos and trios each round (if you find any 20 point or better) and put them on the scratch pad for your later use but also for the next person.",3,chain
317,245,31,decorations,Add a soft natural and soft artificial together for 30 then add scissors for a total of 80,3,chain
318,247,48,animals,A land + air + water animal and 1 or 2 growth always seemed to give me 40+. Struggled to get over 50. Mutation potion seemed to always leave me in the negative.,3,chain
319,245,3,cooking,"fish + lettuce + stove = 80
even this doesn't get you 80 add corn

beef+pepper+stove=80

beef+broccoli+bread+stove=80

egg+green bean+tortilla+stove+80

bacon+potato+corn+stove=80",3,chain
320,248,66,potions,"Filter for liquids and gases, Vial for solids.

Only mix two combined items together not 3.  

Only mix the ones with vials with ones with vials and ones with filters with the ones with filters.

Vial & Sunstone + Vial & Dandelion= 100 points
Filter & Ghostly Vapor + Filter & Honey = 100 points

Vial & Unicorn Horn + Vial & Obsidian = 100 points",3,chain
321,247,39,decorations,"Always frame last as combining something already framed will break the frame.
Don't do too much - it makes things overcomplicated and those combinations lose points.
Mixing one soft thing with one hard thing usually had good results. Framing it as the final touch always gave me 50 points..
Don't cut wood or hard things",3,chain
322,247,5,cooking,"Use stove on all ingredients. Ingredients that don't benefit from stove you can use water on. Combining 3  ingredients, then cooking them on the stove usually produced good results, scored 80 points on most rounds by doing this!",3,chain
323,245,54,animals,Do not use the mutation catalyst,3,chain
324,248,7,cooking,"Here are tips for several different rounds to maximize your points:  
Grab the beans but don't soak them, just cook them

Soak rice in water and then cook on stove

Then, combine the cooked beans with the soaked rice

Cook the bacon with stove. Then, put bread on TOP of bacon

Cook fish on stove. Then, add fresh mushrooms but don't cook them. Then, add corn on top of fish and mushroom

Cook egg on stove. Then cook potato separately with stove. Then, place potato on top of egg.

Cook beans, potatoes and mushrooms separately with stove. Then, place potatoes on top of beans. Then, place mushrooms on top of potatoes",3,chain
325,248,49,animals,avoid mutation catalyst and the trout and make sure you dont combine everything,3,chain
326,245,62,potions,"try this first

liquid mundane+filter

+

gas magical+filter=100

if top doesn't work try this

mundane+filter

+

magical+filter=100",3,chain
327,251,36,decorations,"Use 2 scissors on hard objects, 1 on soft. Then combine two and frame. Combine 2 natural soft then frame, or a natural soft and artificial hard for best results. Don't over complicate or keep adding more.",3,chain
329,258,24,decorations,Don't use the scissors on everything. Try out the frame and different ingredients.,3,chain
331,261,75,potions,Knowing what to mix is hard. Just be careful with filtering,3,chain
333,251,18,cooking,"water is useless. Also do not over complicate things. Only add things that make sense, it deducts points if you try to create anything new. Don't add too many ingredients",3,chain
334,251,63,potions,Use the vial on an ingredient. Do that again. Combine. Note some ingredient doesn't work with the vial.,3,chain
336,258,67,potions,"Filter non-solids. Vial the solids. Combine the ones that seem more alike. One filtered non-solid, and one vial of solid added together becomes a higher score. Bat wing extract plus basilisk venom, mushroom extract plus basilisk venom, mandrake root extract and frog leg and magical mushroom plus dragon extract combinations all give the highest score.",3,chain
337,252,72,potions,"Filter things that aren't solid and then combine those filtered items. Be very careful, i mean be conscious",3,chain
